Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,68.099998,69.449997,67.800003,68.949997,57.576691,1973896
2016-01-04,68.900002,69.900002,67.500000,68.250000,56.992157,2644953
2016-01-05,68.550003,70.699997,68.449997,69.349998,57.910717,3266085
2016-01-06,69.300003,69.750000,68.000000,68.800003,57.451450,3274557
2016-01-07,67.949997,68.400002,65.800003,66.349998,55.405567,2616771
2016-01-08,67.000000,69.300003,66.349998,68.699997,57.367939,2913346
2016-01-11,67.949997,67.949997,66.199997,67.150002,56.073616,3288875
2016-01-12,67.650002,68.250000,66.449997,67.000000,55.948353,2857305
2016-01-13,67.500000,68.000000,64.400002,65.699997,54.862782,3728023
2016-01-14,65.099998,65.849998,63.500000,64.750000,54.069492,2720635
2016-01-15,65.000000,65.500000,61.299999,61.750000,51.564335,2254377
2016-01-18,61.450001,63.450001,61.099998,61.650002,51.480839,2870369
2016-01-19,62.200001,64.949997,62.000000,64.250000,53.651962,3722032
2016-01-20,63.200001,63.700001,60.400002,61.750000,51.564335,3483973
2016-01-21,62.099998,62.750000,60.099998,61.150002,51.063313,4223902
2016-01-22,62.400002,62.500000,61.500000,61.750000,51.564335,2793950
2016-01-25,62.549999,62.549999,61.049999,61.349998,51.230320,2573219
2016-01-27,62.400002,62.400002,61.000000,61.299999,51.188564,2950538
2016-01-28,61.299999,61.700001,59.750000,60.000000,50.103004,5165366
2016-01-29,60.200001,61.349998,59.799999,60.099998,50.186504,4490327
2016-02-01,61.000000,61.000000,60.099998,60.599998,50.604023,3874248
2016-02-02,60.750000,60.849998,58.400002,58.750000,49.059189,4705494
2016-02-03,58.500000,58.500000,56.500000,57.049999,47.639603,3077309
2016-02-04,57.450001,59.849998,57.450001,59.049999,49.309696,3734608
2016-02-05,59.750000,60.500000,59.450001,60.250000,50.311764,4254914
2016-02-08,60.250000,60.799999,58.650002,58.950001,49.226192,4217105
2016-02-09,58.500000,60.000000,58.299999,59.700001,49.852482,2166595
2016-02-10,59.549999,59.799999,57.650002,59.200001,49.434959,2181050
2016-02-11,59.000000,59.500000,55.599998,56.299999,47.013321,3390846
2016-02-12,56.549999,57.900002,55.000000,56.700001,47.347336,3828563
2016-02-15,57.200001,60.250000,57.150002,59.549999,49.727230,11819297
2016-02-16,60.799999,61.900002,58.049999,58.549999,48.892178,6203807
2016-02-17,58.900002,59.450001,57.000000,58.700001,49.017437,5755969
2016-02-18,59.200001,59.700001,58.349998,59.200001,49.434959,3013798
2016-02-19,59.150002,59.849998,58.299999,58.799999,49.100945,4420717
2016-02-22,59.450001,59.450001,58.400002,58.599998,48.933933,1875698
2016-02-23,59.000000,59.049999,57.799999,58.000000,48.432907,1930159
2016-02-24,57.900002,58.599998,57.549999,57.799999,48.265888,1459265
2016-02-25,58.099998,58.950001,56.599998,57.049999,47.639603,5151016
2016-02-26,57.700001,58.000000,57.000000,57.549999,48.057129,1469491
2016-02-29,58.000000,58.349998,56.250000,57.299999,47.848366,3685533
2016-03-01,57.650002,58.799999,57.150002,58.400002,48.766926,2593429
2016-03-02,59.500000,59.799999,58.549999,58.900002,49.184452,4236895
